time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.68444; 0; 0
0.064; 0.999598; 0.684443; 0.0142583; 0.00975509
0.128; 0.997074; 0.6845; 0.736338; 0.502549
0.192; 0.990863; 0.684611; 0.763023; 0.517601
0.256; 0.984464; 0.684788; 0.751529; 0.506643
0.32; 0.980095; 0.685004; 0.755647; 0.507318
0.384; 0.97702; 0.685228; 0.777134; 0.520277
0.448; 0.975212; 0.685467; 0.781358; 0.522319
0.512; 0.974342; 0.685711; 0.789839; 0.527705
0.576; 0.973546; 0.685961; 0.789217; 0.527051
0.64; 0.973647; 0.686211; 0.792516; 0.529502
0.704; 0.974073; 0.686456; 0.79475; 0.531416
0.768; 0.979572; 0.686691; 0.767461; 0.516243
0.832; 0.983314; 0.686878; 0.777864; 0.525382
0.896; 0.98674; 0.687033; 0.779954; 0.528749
0.96; 0.989186; 0.687157; 0.785543; 0.533954
1.024; 0.991339; 0.687261; 0.787346; 0.536426
1.088; 0.993167; 0.687347; 0.789219; 0.538761
1.152; 0.994978; 0.687418; 0.789485; 0.539981
1.216; 0.996377; 0.687472; 0.791804; 0.542371
1.28; 0.997523; 0.687513; 0.793219; 0.543998
1.344; 0.99876; 0.687546; 0.792727; 0.544361
1.408; 0.999493; 0.687566; 0.795631; 0.546772
1.472; 0.999017; 0.687584; 0.793088; 0.544778
1.536; 0.998607; 0.687585; 0.797375; 0.547499
1.6; 0.998288; 0.687582; 0.797903; 0.547684
1.664; 0.9975; 0.687581; 0.795269; 0.545446
1.728; 0.996826; 0.687571; 0.795763; 0.545407
1.792; 0.996486; 0.687553; 0.79772; 0.546547
1.856; 0.995283; 0.68752; 0.792566; 0.542335
1.92; 0.995245; 0.687482; 0.799454; 0.546997
1.984; 0.994688; 0.68745; 0.796488; 0.544637
2.048; 0.994216; 0.687403; 0.796992; 0.544686
2.112; 0.9936; 0.687338; 0.796145; 0.543718
2.176; 0.99329; 0.687277; 0.797813; 0.54464
2.24; 0.993125; 0.687218; 0.798637; 0.545065
2.304; 0.99262; 0.687163; 0.796729; 0.543442
2.368; 0.992508; 0.687096; 0.798876; 0.544792
2.432; 0.991746; 0.687005; 0.795318; 0.541878
2.496; 0.991344; 0.686908; 0.797242; 0.542891
2.56; 0.991126; 0.686825; 0.798262; 0.5434
2.624; 0.990927; 0.68674; 0.798364; 0.543294
2.688; 0.990783; 0.686654; 0.798639; 0.543334
2.752; 0.990694; 0.686566; 0.798953; 0.543429
2.816; 0.990604; 0.686472; 0.798963; 0.543312
2.88; 0.990371; 0.686384; 0.79813; 0.542549
2.944; 0.990011; 0.686284; 0.797391; 0.541771
3.008; 0.98947; 0.686179; 0.796458; 0.540758
3.072; 0.989361; 0.68607; 0.798762; 0.542177
3.136; 0.989254; 0.685966; 0.798801; 0.542062
3.2; 0.989018; 0.685864; 0.798054; 0.541345
3.264; 0.991305; 0.685804; 0.785369; 0.533926
3.328; 0.993974; 0.685755; 0.777409; 0.529899
3.392; 0.995909; 0.685748; 0.781919; 0.534006
3.456; 0.994578; 0.685756; 0.784844; 0.535293
3.52; 0.99222; 0.685758; 0.785404; 0.534407
3.584; 0.994015; 0.685767; 0.789597; 0.538239
3.648; 0.994418; 0.685746; 0.795503; 0.542468
3.712; 0.994402; 0.6857; 0.794369; 0.541649
3.776; 0.994651; 0.685656; 0.794991; 0.542174
3.84; 0.994954; 0.685607; 0.793779; 0.541474
3.904; 0.994863; 0.68553; 0.793724; 0.541326
3.968; 0.994633; 0.685452; 0.796033; 0.542714
4.032; 0.994275; 0.685373; 0.797553; 0.543492
4.096; 0.993866; 0.685293; 0.797287; 0.543024
4.16; 0.992644; 0.685151; 0.792768; 0.53917
4.224; 0.991671; 0.685024; 0.794135; 0.539471
4.288; 0.991259; 0.68491; 0.797148; 0.541203
4.352; 0.990522; 0.684773; 0.795388; 0.539498
4.416; 0.990253; 0.684645; 0.797944; 0.540984
4.48; 0.990056; 0.684515; 0.798299; 0.541014
