time; orientation; distance; velocity towards goal direction; overall
0; 1; 0.68444; 0; 0
0.064; 0.999599; 0.684443; 0.01414; 0.00967411
0.128; 0.995529; 0.684457; 0.729959; 0.497391
0.192; 0.99412; 0.684427; 0.791102; 0.538268
0.256; 0.991981; 0.684395; 0.78651; 0.533967
0.32; 0.990849; 0.68434; 0.79237; 0.537288
0.384; 0.989053; 0.684283; 0.788886; 0.533912
0.448; 0.988318; 0.684205; 0.794899; 0.537521
0.512; 0.992053; 0.684171; 0.778578; 0.528448
0.576; 0.997525; 0.684188; 0.769274; 0.525025
0.64; 0.99573; 0.684249; 0.765982; 0.521885
0.704; 0.991244; 0.684331; 0.774675; 0.525493
0.768; 0.994893; 0.684414; 0.779241; 0.5306
0.832; 0.996145; 0.684451; 0.79281; 0.540548
0.896; 0.997724; 0.684482; 0.790965; 0.540169
0.96; 0.998772; 0.684497; 0.793852; 0.542722
1.024; 0.999518; 0.684504; 0.794563; 0.543619
1.088; 0.998888; 0.684504; 0.795392; 0.543844
1.152; 0.997955; 0.6845; 0.79448; 0.542709
1.216; 0.99738; 0.684486; 0.796496; 0.543762
1.28; 0.996608; 0.684471; 0.795377; 0.542566
1.344; 0.996283; 0.684445; 0.797805; 0.544024
1.408; 0.995543; 0.684421; 0.795552; 0.542067
1.472; 0.995145; 0.684389; 0.797464; 0.543126
1.536; 0.994387; 0.684359; 0.79533; 0.541236
1.6; 0.994387; 0.684313; 0.799574; 0.544088
1.664; 0.994299; 0.68427; 0.799024; 0.54363
1.728; 0.994028; 0.684228; 0.798053; 0.542789
1.792; 0.993935; 0.684177; 0.799055; 0.543379
1.856; 0.996022; 0.684162; 0.786567; 0.535999
1.92; 0.998873; 0.684178; 0.783882; 0.53571
1.984; 0.9979; 0.684203; 0.787308; 0.537547
2.048; 0.999214; 0.684223; 0.791255; 0.540969
2.112; 0.99915; 0.684218; 0.797297; 0.545061
2.176; 0.998297; 0.684214; 0.794976; 0.543007
2.24; 0.997447; 0.684191; 0.79499; 0.542537
2.304; 0.996816; 0.684153; 0.796165; 0.542964
2.368; 0.995682; 0.684078; 0.793384; 0.540393
2.432; 0.996424; 0.684012; 0.785355; 0.535271
2.496; 0.996246; 0.683989; 0.788245; 0.537127
2.56; 0.99668; 0.683956; 0.794878; 0.541857
2.624; 0.996983; 0.683913; 0.796399; 0.543024
2.688; 0.996336; 0.683867; 0.795837; 0.542253
2.752; 0.996006; 0.683812; 0.797809; 0.543372
2.816; 0.995174; 0.68373; 0.795049; 0.540976
2.88; 0.994072; 0.683649; 0.793455; 0.539229
2.944; 0.995783; 0.683597; 0.79011; 0.537839
3.008; 0.995433; 0.683558; 0.790208; 0.537686
3.072; 0.995785; 0.683508; 0.795718; 0.541587
3.136; 0.995381; 0.683418; 0.793918; 0.540072
3.2; 0.994963; 0.683349; 0.795289; 0.540723
3.264; 0.99413; 0.683257; 0.794991; 0.539995
3.328; 0.994904; 0.68319; 0.790704; 0.537449
3.392; 0.994896; 0.683115; 0.795901; 0.540917
3.456; 0.994499; 0.683032; 0.797372; 0.541634
3.52; 0.994659; 0.682973; 0.791001; 0.537347
3.584; 0.995044; 0.682905; 0.795312; 0.540431
3.648; 0.994683; 0.682806; 0.796306; 0.540832
3.712; 0.994079; 0.682735; 0.791663; 0.537296
3.776; 0.994573; 0.682664; 0.794099; 0.539161
3.84; 0.994519; 0.682567; 0.799299; 0.542584
3.904; 0.994353; 0.68248; 0.797109; 0.540938
3.968; 0.994062; 0.682413; 0.791943; 0.537224
4.032; 0.994395; 0.682337; 0.795847; 0.539993
4.096; 0.994509; 0.682248; 0.79833; 0.541668
4.16; 0.992934; 0.682174; 0.785168; 0.531836
4.224; 0.993298; 0.682095; 0.792725; 0.53709
4.288; 0.993555; 0.682003; 0.79674; 0.539877
4.352; 0.993631; 0.681902; 0.798712; 0.541175
4.416; 0.993456; 0.681777; 0.792634; 0.536863
4.48; 0.993251; 0.681655; 0.798389; 0.540553
4.544; 0.992547; 0.681514; 0.795219; 0.537913
4.608; 0.991631; 0.681399; 0.78649; 0.531429
4.672; 0.990573; 0.681329; 0.785415; 0.530081
4.736; 0.991186; 0.681247; 0.792669; 0.535244
4.8; 0.991525; 0.681133; 0.796689; 0.538053
4.864; 0.991888; 0.681034; 0.795461; 0.537342
4.928; 0.992141; 0.680926; 0.796708; 0.538236
4.992; 0.99244; 0.680801; 0.797281; 0.538686
5.056; 0.992813; 0.680685; 0.796286; 0.538125
5.12; 0.992697; 0.680559; 0.796036; 0.537793
5.184; 0.99153; 0.68038; 0.792553; 0.53467
5.248; 0.988858; 0.680174; 0.783517; 0.52699
5.312; 0.984585; 0.679947; 0.773219; 0.517644
5.376; 0.970481; 0.679894; 0.708522; 0.4675
5.44; 0.969004; 0.679838; 0.652227; 0.429665
5.504; 0.962473; 0.67955; 0.625403; 0.409044
5.568; 0.945244; 0.678706; 0.555447; 0.356344
5.632; 0.942373; 0.67752; 0.375172; 0.239538
5.696; 0.943783; 0.677055; 0.61812; 0.394974
5.76; 0.940859; 0.676193; 0.746858; 0.475152
5.824; 0.934941; 0.675297; 0.72472; 0.457561
5.888; 0.93327; 0.674278; 0.765026; 0.481419
5.952; 0.93429; 0.672668; 0.722486; 0.454059
6.016; 0.93819; 0.668334; 0.732947; 0.459575
6.08; 0.93384; 0.664689; 0.705678; 0.438024
6.144; 0.925229; 0.661631; 0.692512; 0.423928
6.208; 0.922416; 0.658601; 0.71307; 0.433193
6.272; 0.929318; 0.655712; 0.729363; 0.444449
6.336; 0.933482; 0.652875; 0.759447; 0.462843
6.4; 0.937072; 0.650173; 0.761663; 0.46405
6.464; 0.939662; 0.647804; 0.773359; 0.470756
6.528; 0.941794; 0.646057; 0.776208; 0.472285
6.592; 0.943253; 0.644225; 0.780108; 0.474046
6.656; 0.944347; 0.642402; 0.783959; 0.475589
6.72; 0.945246; 0.640578; 0.784409; 0.474963
6.784; 0.946166; 0.638755; 0.785113; 0.474497
6.848; 0.947425; 0.636926; 0.782127; 0.471966
6.912; 0.948301; 0.635097; 0.784005; 0.472178
6.976; 0.948496; 0.633281; 0.789381; 0.474153
7.04; 0.948985; 0.631466; 0.787332; 0.47181
7.104; 0.947385; 0.63009; 0.767654; 0.458241
7.168; 0.947993; 0.629259; 0.796295; 0.475017
7.232; 0.94843; 0.628297; 0.795815; 0.474223
7.296; 0.948088; 0.626912; 0.778397; 0.462654
7.36; 0.947041; 0.626004; 0.780579; 0.462768
7.424; 0.947634; 0.62495; 0.793007; 0.469638
7.488; 0.947436; 0.623428; 0.76998; 0.454795
7.552; 0.946406; 0.622277; 0.770738; 0.453908
7.616; 0.947355; 0.620968; 0.787176; 0.463078
7.68; 0.94362; 0.619183; 0.753763; 0.440404
7.744; 0.944693; 0.617474; 0.781171; 0.455675
7.808; 0.945654; 0.615768; 0.782255; 0.45551
7.872; 0.946298; 0.614056; 0.783611; 0.45534
